model,mode,kpi_rmse,kpi_mae,kpi_r2,kpi_mape_pct,recovery_contrib_mae,recovery_contrib_share_mae,recovery_contrib_corr,recovery_contrib_share_corr
TabFM,mock,90347.86969327887,77166.92064522061,-27.20333161398104,7.581610363626441,129207.75534273453,0.2148102259882331,-0.24024566064049613,-0.2402456606404962
Meridian-style baseline,meridian_style,11587.049942059746,10217.82526634037,0.5361149910836476,1.0064692353940068,85515.40881807909,0.08347470366661384,0.02771970077080289,0.027719700770802914
